epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,230.791,1.79893,1.84535,0.89509,0.76122,0.24806,0.25209,0.14737,1.69361,1.17709,0.8529,0.000208251,0.000208251,0.000208251
2,455.181,1.71086,1.26055,0.88818,0.78981,0.25297,0.29371,0.17138,1.65206,1.11525,0.85024,0.000395963,0.000395963,0.000395963
3,674.172,1.70144,1.22334,0.88289,0.8202,0.2585,0.33716,0.19735,1.60599,1.07823,0.84665,0.000563051,0.000563051,0.000563051
4,893.741,1.64823,1.17871,0.87298,0.75538,0.27632,0.33169,0.20244,1.62063,1.07634,0.84406,0.000532187,0.000532187,0.000532187
5,1117.11,1.62514,1.13068,0.87352,0.84043,0.28845,0.35389,0.21795,1.5635,1.03395,0.83852,0.00050125,0.00050125,0.00050125
6,1339.22,1.59516,1.09825,0.86722,0.75811,0.312,0.40174,0.23853,1.55764,0.99266,0.83933,0.000470312,0.000470312,0.000470312
7,1560.35,1.57068,1.07086,0.86233,0.76947,0.3275,0.40502,0.24999,1.55408,1.00053,0.8368,0.000439375,0.000439375,0.000439375
8,1780.73,1.54969,1.0399,0.86223,0.81121,0.32634,0.45454,0.28158,1.51706,0.96786,0.8338,0.000408438,0.000408438,0.000408438
9,2002.81,1.52564,1.01898,0.85935,0.7443,0.39235,0.43734,0.26776,1.51154,0.95194,0.83374,0.0003775,0.0003775,0.0003775
10,2226.65,1.51385,1.00069,0.859,0.82037,0.34471,0.48181,0.30472,1.48553,0.93495,0.83283,0.000346563,0.000346563,0.000346563
11,2432.83,1.54315,1.00994,0.85274,0.64493,0.46878,0.49144,0.30287,1.49307,0.93702,0.83093,0.000315625,0.000315625,0.000315625
12,2638.36,1.52528,0.97962,0.8517,0.68242,0.45537,0.49557,0.30071,1.50556,0.93643,0.83354,0.000284688,0.000284688,0.000284688
13,2844.11,1.49906,0.96563,0.84939,0.69826,0.43834,0.50261,0.30713,1.46543,0.89359,0.82905,0.00025375,0.00025375,0.00025375
14,3049.45,1.48329,0.93919,0.84296,0.74021,0.38243,0.48578,0.30346,1.47861,0.89437,0.82868,0.000222813,0.000222813,0.000222813
15,3254.2,1.4688,0.91451,0.84617,0.74506,0.48438,0.54595,0.34828,1.44406,0.87777,0.82682,0.000191875,0.000191875,0.000191875
16,3459.9,1.45393,0.89842,0.84002,0.70387,0.50661,0.53124,0.33591,1.44103,0.85148,0.82591,0.000160938,0.000160938,0.000160938
17,3665.95,1.43269,0.88074,0.83925,0.82884,0.51933,0.59359,0.3861,1.4168,0.83323,0.82282,0.00013,0.00013,0.00013
18,3871.44,1.41282,0.86194,0.83613,0.79066,0.51157,0.59142,0.38883,1.40891,0.82129,0.82302,9.90625e-05,9.90625e-05,9.90625e-05
19,4076.19,1.40894,0.84381,0.8376,0.83682,0.51428,0.6047,0.38598,1.38855,0.80477,0.82155,6.8125e-05,6.8125e-05,6.8125e-05
20,4281.09,1.37524,0.81475,0.83551,0.78928,0.56067,0.61822,0.39386,1.38656,0.79862,0.82055,3.71875e-05,3.71875e-05,3.71875e-05
